dataset,model,mean_train_accuracy,sd_train_accuracy,mean_test_accuracy,sd_test_accuracy
red_wine,BaggingClassifier,0.999895751889497,0.00026578157485499307,0.9176041666666667,0.004306255543457156
red_wine,RandomForestClassifier,0.9999739379723742,0.0001403483139727594,0.9201041666666666,0.005209374895854158
red_wine,ExtraTreesClassifier,1.0,0.0,0.9201041666666666,0.005146508052931525
red_wine,XGBoost,1.0,0.0,0.921875,0.0
red_wine,EvoBagging,0.9959864477456346,0.001043783392989337,0.9188541666666665,0.003825909931709779
abalone,BaggingClassifier,0.999820413049985,0.00021305154648371293,0.6151515151515151,0.007689898142908548
abalone,RandomForestClassifier,0.9999002294722139,0.0001608751421390506,0.6259170653907496,0.006500058651456088
abalone,ExtraTreesClassifier,1.0,0.0,0.6130382775119617,0.008245494494118957
abalone,XGBoost,0.927267285243939,0.0,0.6339712918660287,0.0
abalone,EvoBagging,0.7400678439588948,0.0029363908777900413,0.6316188197767146,0.0071269071779948975
breast_cancer,BaggingClassifier,1.0,0.0,0.9628654970760233,0.00539946938965481
breast_cancer,RandomForestClassifier,1.0,0.0,0.9602339181286548,0.007420220783888632
breast_cancer,ExtraTreesClassifier,1.0,0.0,0.9628654970760232,0.006674100707902551
breast_cancer,XGBoost,1.0,0.0,0.982456140350877,1.1102230246251565e-16
breast_cancer,EvoBagging,1.0,0.0,0.9619883040935672,0.005699879733806429
pima,BaggingClassifier,0.9939739413680783,0.0029179923236431473,0.7424242424242422,0.01728893986815227
pima,RandomForestClassifier,0.996199782844734,0.0026036001755226504,0.741125541125541,0.01849858062270261
pima,ExtraTreesClassifier,1.0,0.0,0.7214285714285714,0.01950575565957719
pima,XGBoost,0.9739413680781759,0.0,0.7142857142857145,2.220446049250313e-16
pima,EvoBagging,0.953800217155266,0.005474563503128876,0.7419913419913419,0.016507078757521745
mnist,BaggingClassifier,1.0,0.0,0.9483333333333334,0.005629142279100248
mnist,RandomForestClassifier,1.0,0.0,0.9690740740740739,0.004796975498884657
mnist,ExtraTreesClassifier,1.0,0.0,0.9795370370370371,0.0045067013050511025
mnist,XGBoost,1.0,0.0,0.9555555555555556,0.0
mnist,EvoBagging,1.0,0.0,0.95,0.006374783140021685
car,BaggingClassifier,1.0,0.0,0.9780346820809249,0.0030404111441347742
car,RandomForestClassifier,1.0,0.0,0.9681117533718688,0.005508205147947127
car,ExtraTreesClassifier,1.0,0.0,0.9762042389210019,0.005667655522189876
car,XGBoost,1.0,0.0,0.9913294797687864,2.220446049250313e-16
car,EvoBagging,1.0,0.0,0.9811175337186897,0.005155717980832236
tic-tac-toe,BaggingClassifier,1.0,0.0,0.9949652777777778,0.0052915800882389445
tic-tac-toe,RandomForestClassifier,1.0,0.0,0.9899305555555554,0.0073575069793114815
tic-tac-toe,ExtraTreesClassifier,1.0,0.0,0.9928819444444446,0.0041412709867626775
tic-tac-toe,XGBoost,1.0,0.0,1.0,0.0
tic-tac-toe,EvoBagging,1.0,0.0,0.9927083333333334,0.005641693336552742
ionosphere,BaggingClassifier,0.9998809523809524,0.0006410910484683912,0.948826291079812,0.00994817845090003
ionosphere,RandomForestClassifier,1.0,0.0,0.937089201877934,0.011914157314976059
ionosphere,ExtraTreesClassifier,1.0,0.0,0.9436619718309855,0.0036366040809459265
ionosphere,XGBoost,1.0,0.0,0.9718309859154928,2.220446049250313e-16
ionosphere,EvoBagging,1.0,0.0,0.9469483568075117,0.008669570569304865
churn,BaggingClassifier,0.999,0.00047434164902525924,0.9495000000000001,0.0017464249196572996
churn,RandomForestClassifier,0.9992249999999999,0.0003614208073700323,0.9523666666666665,0.0028458546851322015
churn,ExtraTreesClassifier,1.0,0.0,0.9333666666666668,0.00360077152226511
churn,XGBoost,0.9914999999999997,3.3306690738754696e-16,0.9549999999999996,3.3306690738754696e-16
churn,EvoBagging,0.9983916666666669,0.00048598411039411184,0.9497333333333331,0.002096558025802187
flare,BaggingClassifier,0.8852503912363067,0.001705808243864766,0.8051401869158877,0.008878504672897202
flare,RandomForestClassifier,0.8849374021909233,0.0017535942747273006,0.8068535825545171,0.010046427100683552
flare,ExtraTreesClassifier,0.8873239436619719,0.0,0.7886292834890968,0.0031191564477415653
flare,XGBoost,0.8697183098591551,2.220446049250313e-16,0.8177570093457942,2.220446049250313e-16
flare,EvoBagging,0.8816901408450701,0.0015571008405424445,0.8079439252336448,0.008645912203350734
ring,BaggingClassifier,0.9999662162162163,6.756756756756132e-05,0.9469594594594594,0.0022392643536183828
ring,RandomForestClassifier,1.0,0.0,0.9505405405405405,0.0023432084330882756
ring,ExtraTreesClassifier,1.0,0.0,0.9729054054054053,0.002387918519874638
ring,XGBoost,1.0,0.0,0.9682432432432433,0.0
ring,EvoBagging,0.9925112612612613,0.0002769904026181998,0.940945945945946,0.0028431952861368514
two-spiral,BaggingClassifier,0.9791397849462365,0.009667856685156549,0.6170940170940171,0.07250362413828546
two-spiral,RandomForestClassifier,0.9769892473118279,0.010493654106456628,0.547008547008547,0.06327095905409144
two-spiral,ExtraTreesClassifier,1.0,0.0,0.6000000000000002,0.057181978405735835
two-spiral,XGBoost,0.9419354838709676,1.1102230246251565e-16,0.5897435897435898,0.0
two-spiral,EvoBagging,0.689247311827957,0.02928602750628851,0.4572649572649573,0.07009068148229368
