Dataset_name,G,M,MS,K,CV_score
mnist,0.1,0.05,0.05,3000,0.9533333333333334
mnist,0.1,0.05,0.05,1000,0.9494444444444445
mnist,0.1,0.05,0.05,4000,0.9488888888888889
mnist,0.1,0.05,0.05,2000,0.9516666666666668
mnist,0.1,0.05,0.05,5000,0.953888888888889
mnist,0.15,0.05,0.05,4000,0.9477777777777778
mnist,0.15,0.05,0.05,1000,0.95
mnist,0.15,0.05,0.05,3000,0.9483333333333335
mnist,0.15,0.05,0.05,2000,0.953888888888889
mnist,0.2,0.05,0.05,1000,0.9488888888888889
mnist,0.25,0.05,0.05,2000,0.9472222222222223
mnist,0.25,0.05,0.05,1000,0.9494444444444445
mnist,0.15,0.05,0.05,5000,0.9483333333333333
mnist,0.2,0.05,0.05,3000,0.953888888888889
mnist,0.2,0.05,0.05,5000,0.9433333333333331
mnist,0.25,0.05,0.05,4000,0.9472222222222223
mnist,0.25,0.05,0.05,3000,0.945
mnist,0.2,0.05,0.05,2000,0.9483333333333335
mnist,0.2,0.05,0.05,4000,0.95
mnist,0.25,0.05,0.05,5000,0.9488888888888889
mnist,0.3,0.05,0.05,2000,0.9516666666666668
mnist,0.3,0.05,0.05,1000,0.9494444444444445
mnist,0.3,0.05,0.05,3000,0.9522222222222222
mnist,0.3,0.05,0.05,4000,0.9511111111111111
mnist,0.1,0.05,0.05,6000,0.9466666666666667
mnist,0.1,0.05,0.05,7000,0.9527777777777778
mnist,0.15,0.05,0.05,6000,0.95
mnist,0.1,0.05,0.05,8000,0.9527777777777778
mnist,0.1,0.05,0.05,9000,0.9505555555555555
mnist,0.15,0.05,0.05,7000,0.9488888888888889
mnist,0.25,0.05,0.05,6000,0.9511111111111111
mnist,0.3,0.05,0.05,5000,0.9494444444444445
mnist,0.2,0.05,0.05,6000,0.9477777777777778
mnist,0.2,0.05,0.05,7000,0.953888888888889
mnist,0.15,0.05,0.05,8000,0.9483333333333335
mnist,0.15,0.05,0.05,9000,0.9505555555555556
mnist,0.1,0.05,0.05,10000,0.9533333333333334
mnist,0.25,0.05,0.05,7000,0.9511111111111111
mnist,0.3,0.05,0.05,6000,0.95
mnist,0.25,0.05,0.05,8000,0.9544444444444444
mnist,0.2,0.05,0.05,8000,0.9522222222222222
mnist,0.3,0.05,0.05,7000,0.95
mnist,0.15,0.05,0.05,10000,0.9477777777777778
mnist,0.3,0.05,0.05,8000,0.9550000000000001
mnist,0.25,0.05,0.05,9000,0.9511111111111111
mnist,0.2,0.05,0.05,9000,0.9494444444444445
mnist,0.3,0.05,0.05,9000,0.9505555555555556
mnist,0.2,0.05,0.05,10000,0.95
mnist,0.1,0.05,0.05,11000,0.9522222222222222
mnist,0.25,0.05,0.05,10000,0.9477777777777778
mnist,0.1,0.05,0.05,12000,0.9494444444444445
mnist,0.15,0.05,0.05,11000,0.9472222222222222
mnist,0.3,0.05,0.05,10000,0.9527777777777778
mnist,0.15,0.05,0.05,12000,0.9511111111111111
mnist,0.1,0.05,0.05,13000,0.946111111111111
mnist,0.2,0.05,0.05,11000,0.9511111111111111
mnist,0.1,0.05,0.05,14000,0.9455555555555556
mnist,0.25,0.05,0.05,11000,0.9505555555555556
mnist,0.15,0.05,0.05,13000,0.9511111111111111
mnist,0.3,0.05,0.05,11000,0.9455555555555556
mnist,0.25,0.05,0.05,12000,0.9477777777777778
