MS,iteration,avg_fitness,restricted
0.01,0,1.0102592009359816,True
0.01,1,1.018854912805527,True
0.01,2,1.0271007827608685,True
0.01,3,1.0309473051117504,True
0.01,4,1.024942864420724,True
0.01,5,1.0342523508740415,True
0.01,6,1.035172387235716,True
0.01,7,1.0335015985410598,True
0.01,8,1.037597879215362,True
0.01,9,1.032786329791343,True
0.01,10,1.0344417985346819,True
0.01,11,1.0341564938279415,True
0.01,12,1.0344677034562846,True
0.01,13,1.0373379129094509,True
0.01,14,1.0371702367621658,True
0.01,15,1.0400981180240412,True
0.06,0,1.0153502888266865,True
0.06,1,1.020875551960761,True
0.06,2,1.0209691995326136,True
0.06,3,1.0282260911272754,True
0.06,4,1.0273363231162855,True
0.06,5,1.0303006352223387,True
0.06,6,1.037511341599362,True
0.06,7,1.0353304980917746,True
0.06,8,1.0346394969153727,True
0.06,9,1.0359050938028551,True
0.06,10,1.037507665391379,True
0.06,11,1.0338627093932147,True
0.06,12,1.0377171517560086,True
0.06,13,1.035208707363418,True
0.06,14,1.0348549304436567,True
0.06,15,1.037938247836706,True
0.1,0,1.0066592033479131,True
0.1,1,1.0129777996760894,True
0.1,2,1.0192632625629463,True
0.1,3,1.0275942726828484,True
0.1,4,1.0311482980070605,True
0.1,5,1.0278829737328956,True
0.1,6,1.0317172880218657,True
0.1,7,1.032601574739205,True
0.1,8,1.0311522852234547,True
0.1,9,1.0355948062207596,True
0.1,10,1.0341018392755639,True
0.1,11,1.0346883275040977,True
0.1,12,1.0349815343022606,True
0.1,13,1.0289684430007087,True
0.1,14,1.0334283028032665,True
0.1,15,1.0279454922209494,True
0.2,0,1.0032362968979187,True
0.2,1,1.023792894989726,True
0.2,2,1.0248224483073853,True
0.2,3,1.024932676286918,True
0.2,4,1.0252548699592012,True
0.2,5,1.031015118742408,True
0.2,6,1.0314700715487763,True
0.2,7,1.0309702946635593,True
0.2,8,1.0298286314093736,True
0.2,9,1.0272847068275652,True
0.2,10,1.02946990063083,True
0.2,11,1.028091004483118,True
0.2,12,1.0271377979463672,True
0.2,13,1.0353750233367838,True
0.2,14,1.0318549891186684,True
0.2,15,1.0314270369444938,True
0.01,0,1.041609090909091,False
0.01,1,1.0436220095693778,False
0.01,2,1.0449856459330145,False
0.01,3,1.0462200956937802,False
0.01,4,1.046688995215311,False
0.01,5,1.0463349282296652,False
0.01,6,1.047703349282297,False
0.01,7,1.0470239234449763,False
0.01,8,1.0476267942583732,False
0.01,9,1.048483253588517,False
0.01,10,1.0479808612440191,False
0.01,11,1.0493014354066983,False
0.01,12,1.051062200956938,False
0.01,13,1.0493301435406701,False
0.01,14,1.0509521531100479,False
0.01,15,1.0513779904306222,False
0.06,0,1.0409590909090911,False
0.06,1,1.0430956937799045,False
0.06,2,1.0449856459330145,False
0.06,3,1.0452822966507176,False
0.06,4,1.047540669856459,False
0.06,5,1.048622009569378,False
0.06,6,1.048263157894737,False
0.06,7,1.0489330143540672,False
0.06,8,1.048133971291866,False
0.06,9,1.0497799043062201,False
0.06,10,1.0502870813397127,False
0.06,11,1.0488564593301435,False
0.06,12,1.0494976076555027,False
0.06,13,1.049574162679426,False
0.06,14,1.0506698564593302,False
0.06,15,1.0502009569377992,False
0.1,0,1.0419363636363637,False
0.1,1,1.0442392344497606,False
0.1,2,1.0444784688995217,False
0.1,3,1.0476172248803828,False
0.1,4,1.0475454545454546,False
0.1,5,1.048976076555024,False
0.1,6,1.0490000000000002,False
0.1,7,1.0495693779904307,False
0.1,8,1.0491100478468898,False
0.1,9,1.048492822966507,False
0.1,10,1.0496937799043062,False
0.1,11,1.048818181818182,False
0.1,12,1.048578947368421,False
0.1,13,1.0479952153110046,False
0.1,14,1.050263157894737,False
0.1,15,1.049688995215311,False
0.2,0,1.0419454545454545,False
0.2,1,1.0439952153110048,False
0.2,2,1.044842105263158,False
0.2,3,1.0451866028708137,False
0.2,4,1.0453253588516747,False
0.2,5,1.0469377990430624,False
0.2,6,1.0470239234449763,False
0.2,7,1.0453636363636363,False
0.2,8,1.0475693779904307,False
0.2,9,1.0474784688995216,False
0.2,10,1.048004784688995,False
0.2,11,1.0484066985645935,False
0.2,12,1.0480047846889955,False
0.2,13,1.0483971291866028,False
0.2,14,1.0490239234449763,False
0.2,15,1.0484497607655503,False
