dataset_name,iteration,voting_rule,test_accuracy
pima,0,majority,0.7337662337662337
pima,0,weighted,0.7467532467532467
pima,1,majority,0.7207792207792207
pima,1,weighted,0.7272727272727273
pima,2,majority,0.7532467532467533
pima,2,weighted,0.7532467532467533
pima,3,majority,0.7467532467532467
pima,3,weighted,0.7532467532467533
pima,4,majority,0.7467532467532467
pima,4,weighted,0.7532467532467533
pima,5,majority,0.7402597402597403
pima,5,weighted,0.7402597402597403
pima,6,majority,0.7402597402597403
pima,6,weighted,0.7402597402597403
pima,7,majority,0.7272727272727273
pima,7,weighted,0.7272727272727273
pima,8,majority,0.7272727272727273
pima,8,weighted,0.7272727272727273
pima,9,majority,0.7597402597402597
pima,9,weighted,0.7597402597402597
pima,10,majority,0.7532467532467533
pima,10,weighted,0.7532467532467533
pima,11,majority,0.7597402597402597
pima,11,weighted,0.7597402597402597
pima,12,majority,0.7467532467532467
pima,12,weighted,0.7402597402597403
pima,13,majority,0.7402597402597403
pima,13,weighted,0.7272727272727273
pima,14,majority,0.7272727272727273
pima,14,weighted,0.7207792207792207
pima,15,majority,0.7467532467532467
pima,15,weighted,0.7467532467532467
pima,16,majority,0.7662337662337663
pima,16,weighted,0.7727272727272727
pima,17,majority,0.7532467532467533
pima,17,weighted,0.7467532467532467
pima,18,majority,0.7532467532467533
pima,18,weighted,0.7532467532467533
pima,19,majority,0.7077922077922078
pima,19,weighted,0.7077922077922078
pima,20,majority,0.7272727272727273
pima,20,weighted,0.7207792207792207
two-spiral,0,majority,0.5384615384615384
two-spiral,0,weighted,0.5384615384615384
two-spiral,1,majority,0.4230769230769231
two-spiral,1,weighted,0.47435897435897434
two-spiral,2,majority,0.47435897435897434
two-spiral,2,weighted,0.47435897435897434
two-spiral,3,majority,0.5
two-spiral,3,weighted,0.5256410256410257
two-spiral,4,majority,0.4230769230769231
two-spiral,4,weighted,0.47435897435897434
two-spiral,5,majority,0.4358974358974359
two-spiral,5,weighted,0.5128205128205128
two-spiral,6,majority,0.5
two-spiral,6,weighted,0.48717948717948717
two-spiral,7,majority,0.48717948717948717
two-spiral,7,weighted,0.5128205128205128
two-spiral,8,majority,0.48717948717948717
two-spiral,8,weighted,0.5128205128205128
two-spiral,9,majority,0.5
two-spiral,9,weighted,0.5
two-spiral,10,majority,0.48717948717948717
two-spiral,10,weighted,0.48717948717948717
two-spiral,11,majority,0.47435897435897434
two-spiral,11,weighted,0.47435897435897434
two-spiral,12,majority,0.5
two-spiral,12,weighted,0.47435897435897434
two-spiral,13,majority,0.5256410256410257
two-spiral,13,weighted,0.5128205128205128
two-spiral,14,majority,0.5
two-spiral,14,weighted,0.48717948717948717
two-spiral,15,majority,0.5
two-spiral,15,weighted,0.46153846153846156
two-spiral,16,majority,0.5512820512820513
two-spiral,16,weighted,0.5
two-spiral,17,majority,0.48717948717948717
two-spiral,17,weighted,0.48717948717948717
two-spiral,18,majority,0.46153846153846156
two-spiral,18,weighted,0.44871794871794873
two-spiral,19,majority,0.5
two-spiral,19,weighted,0.5
two-spiral,20,majority,0.47435897435897434
two-spiral,20,weighted,0.44871794871794873
